97   2018-06-18   02:50:56.4333310   纬度=31.45039   经度=103.6368   强度=-25.94386   陡度=-5.188772   误差=73.12578   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
98   2018-06-18   02:52:13.2542654   纬度=25.48388   经度=96.01871   强度=-64.8773   陡度=-11.53374   误差=74.94659   定位方式:6   省:   市:   县:
99   2018-06-18   02:52:53.842902   纬度=31.37163   经度=102.5997   强度=-28.53806   陡度=-4.454721   误差=0   定位方式:5   省:四川省   市:阿坝藏族羌族自治州   县:小金县
100   2018-06-18   02:53:03.5497286   纬度=31.05956   经度=105.8115   强度=-49.83348   陡度=-16.78602   误差=0   定位方式:6   省:四川省   市:南充市   县:西充县
101   2018-06-18   02:53:03.5938599   纬度=31.05841   经度=105.8094   强度=-47.63509   陡度=-10.33439   误差=47.65706   定位方式:6   省:四川省   市:南充市   县:西充县
102   2018-06-18   02:54:06.6471060   纬度=31.37242   经度=103.2636   强度=-26.27507   陡度=-2.567336   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
103   2018-06-18   02:54:43.3346056   纬度=23.62203   经度=101.0503   强度=-40.38428   陡度=-5.169188   误差=75.45179   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
104   2018-06-18   02:55:43.6670235   纬度=31.3742   经度=103.4623   强度=-23.80368   陡度=-4.062495   误差=0   定位方式:5   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
105   2018-06-18   02:55:43.9765607   纬度=31.43173   经度=103.4641   强度=-17.42068   陡度=-3.484136   误差=0   定位方式:5   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
106   2018-06-18   02:56:31.6409359   纬度=31.43732   经度=103.1737   强度=-25.10765   陡度=-2.530535   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:理县
107   2018-06-18   02:57:01.6474656   纬度=31.07083   经度=105.8098   强度=-39.27322   陡度=-11.17105   误差=166.8971   定位方式:6   省:四川省   市:南充市   县:西充县
108   2018-06-18   02:58:18.817919   纬度=31.3388   经度=103.5771   强度=-42.64441   陡度=-4.586961   误差=0   定位方式:6   省:四川省   市:成都市   县:都江堰市
109   2018-06-18   03:00:23.7085877   纬度=31.32713   经度=103.5459   强度=-36.00824   陡度=-3.414115   误差=73.16631   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
110   2018-06-18   03:00:23.7332239   纬度=31.32573   经度=103.557   强度=-39.03621   陡度=-4.804457   误差=73.16673   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
111   2018-06-18   03:00:23.7668993   纬度=31.40486   经度=103.3747   强度=-22.05134   陡度=-2.106397   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
112   2018-06-18   03:00:53.4494186   纬度=31.32491   经度=103.5668   强度=-17.70174   陡度=-3.840377   误差=73.16698   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
113   2018-06-18   03:00:53.4779082   纬度=31.32493   经度=103.5673   强度=-27.24545   陡度=-4.843635   误差=73.16705   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:汶川县
114   2018-06-18   03:01:48.8825104   纬度=31.4693   经度=103.7131   强度=-28.07519   陡度=-4.278123   误差=73.11961   定位方式:6   省:四川省   市:阿坝藏族羌族自治州   县:茂县
115   2018-06-18   03:01:48.9230797   纬度=31.46341   经度=103.7314   强度=-17.03414   陡度=-1.912605   误差=0   定位方式:2   省:四川省   市:阿坝藏族羌族自治州   县:茂县
116   2018-06-18   03:04:37.9073186   纬度=23.67941   经度=101.0702   强度=-53.63652   陡度=-15.60335   误差=50.94854   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
117   2018-06-18   03:04:45.9070150   纬度=23.95421   经度=101.5247   强度=-88.31581   陡度=-7.293177   误差=0   定位方式:5   省:云南省   市:玉溪地区   县:新平彝族傣族自治县
118   2018-06-18   03:05:28.4625877   纬度=30.95844   经度=105.6449   强度=-42.84062   陡度=-10.54538   误差=73.28664   定位方式:6   省:四川省   市:南充市   县:西充县
119   2018-06-18   03:05:28.8931823   纬度=30.93412   经度=105.702   强度=-22.79957   陡度=-7.482935   误差=0   定位方式:2   省:四川省   市:南充市   县:西充县
120   2018-06-18   03:05:50.2892934   纬度=24.28987   经度=101.1884   强度=-32.35738   陡度=-7.019907   误差=75.27439   定位方式:6   省:云南省   市:思茅地区   县:景东彝族自治县
121   2018-06-18   03:05:50.3397076   纬度=24.2875   经度=101.1887   强度=-35.89902   陡度=-8.669951   误差=166.8971   定位方式:6   省:云南省   市:思茅地区   县:景东彝族自治县
122   2018-06-18   03:07:48.5610905   纬度=24.3147   经度=101.1753   强度=-58.56038   陡度=-12.92367   误差=166.8971   定位方式:6   省:云南省   市:思茅地区   县:景东彝族自治县
123   2018-06-18   03:10:54.8914754   纬度=21.12317   经度=102.8669   强度=-86.54701   陡度=-19.10003   误差=76.07888   定位方式:6   省:   市:   县:
124   2018-06-18   03:11:07.2201191   纬度=23.79706   经度=94.27457   强度=-112.0862   陡度=-19.12937   误差=0   定位方式:5   省:   市:   县:
125   2018-06-18   03:11:07.9809156   纬度=22.93909   经度=106.491   强度=-31.47488   陡度=-6.104219   误差=0   定位方式:5   省:广西壮族自治区   市:百色市   县:靖西县
126   2018-06-18   03:12:05.8450004   纬度=24.74828   经度=97.58765   强度=-57.38615   陡度=-11.65941   误差=75.14992   定位方式:6   省:云南省   市:德宏傣族景颇族自治州   县:盈江县
127   2018-06-18   03:16:21.7680875   纬度=23.70628   经度=101.1102   强度=-64.13502   陡度=-8.733278   误差=50.938   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
128   2018-06-18   03:16:21.9228608   纬度=23.70618   经度=101.11   强度=-66.24873   陡度=-10.34127   误差=75.42966   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
129   2018-06-18   03:17:41.7270062   纬度=24.64771   经度=97.56594   强度=-46.36782   陡度=-9.572711   误差=75.17747   定位方式:6   省:   市:   县:
130   2018-06-18   03:18:03.9526730   纬度=25.43208   经度=96.19681   强度=-96.94722   陡度=-19.69721   误差=74.96097   定位方式:6   省:   市:   县:
131   2018-06-18   03:22:04.7567919   纬度=23.88027   经度=101.0586   强度=-35.69475   陡度=-7.614881   误差=0   定位方式:2   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
132   2018-06-18   03:23:57.2239474   纬度=23.78789   经度=101.0416   强度=-39.7715   陡度=-8.484586   误差=75.40813   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
133   2018-06-18   03:23:57.4956197   纬度=23.78893   经度=101.0598   强度=-97.12436   陡度=-6.906621   误差=75.408   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
134   2018-06-18   03:23:57.5852642   纬度=23.78795   经度=101.0611   强度=-33.31626   陡度=-8.703023   误差=55.63231   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
135   2018-06-18   03:23:57.6618949   纬度=23.78954   经度=101.0632   强度=-57.6471   陡度=-13.17648   误差=55.63239   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
136   2018-06-18   03:25:43.4284277   纬度=25.65232   经度=91.62337   强度=-68.43396   陡度=-9.124528   误差=111.2647   定位方式:6   省:   市:   县:
137   2018-06-18   03:25:45.1216619   纬度=24.86734   经度=91.79385   强度=-148.579   陡度=-16.98046   误差=0   定位方式:6   省:   市:   县:
138   2018-06-18   03:27:14.7229371   纬度=23.08507   经度=106.4479   强度=-115.3195   陡度=-18.45113   误差=75.59165   定位方式:6   省:广西壮族自治区   市:百色市   县:靖西县
139   2018-06-18   03:27:14.7675931   纬度=23.11964   经度=106.5428   强度=-23.53173   陡度=-6.024123   误差=0   定位方式:2   省:广西壮族自治区   市:百色市   县:靖西县
140   2018-06-18   03:29:46.9355819   纬度=31.08993   经度=105.6133   强度=-66.5897   陡度=-14.69566   误差=73.24372   定位方式:6   省:四川省   市:绵阳市   县:盐亭县
141   2018-06-18   03:29:47.379004   纬度=31.09173   经度=105.6133   强度=-74.16274   陡度=-19.37313   误差=0   定位方式:6   省:四川省   市:绵阳市   县:盐亭县
142   2018-06-18   03:29:47.1086680   纬度=31.18703   经度=105.6074   强度=-19.28015   陡度=-9.140221   误差=0   定位方式:2   省:四川省   市:绵阳市   县:盐亭县
143   2018-06-18   03:29:47.5783954   纬度=31.09096   经度=105.6135   强度=-52.80935   陡度=-18.26918   误差=73.24347   定位方式:6   省:四川省   市:绵阳市   县:盐亭县
144   2018-06-18   03:29:48.138563   纬度=23.80801   经度=101.048   强度=-107.1902   陡度=-10.08849   误差=75.4028   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
145   2018-06-18   03:29:48.848935   纬度=23.80283   经度=101.052   强度=-108.2329   陡度=-15.74296   误差=55.63239   定位方式:6   省:云南省   市:思茅地区   县:镇沅彝族哈尼族拉祜族自治县
146   2018-06-18   03:32:43.1242120   纬度=31.06302   经度=105.7187   强度=-114.2268   陡度=-20.30698   误差=73.25265   定位方式:6   省:四川省   市:南充市   县:西充县
147   2018-06-18   03:32:43.1542193   纬度=31.07652   经度=105.6606   强度=-43.06707   陡度=-15.31274   误差=0   定位方式:5   省:四川省   市:绵阳市   县:盐亭县
148   2018-06-18   03:32:43.2591273   纬度=31.02523   经度=105.6944   强度=-63.94197   陡度=-18.6013   误差=47.67363   定位方式:6   省:四川省   市:南充市   县:西充县
149   2018-06-18   03:32:43.3552660   纬度=31.06618   经度=105.7188   强度=-57.27472   陡度=-10.78112   误差=73.25154   定位方式:6   省:四川省   市:南充市   县:西充县
150   2018-06-18   03:32:43.4971655   纬度=31.06458   经度=105.7189   强度=-23.40705   陡度=-7.133576   误差=0   定位方式:5   省:四川省   市:南充市   县:西充县
151   2018-06-18   03:33:12.7851815   纬度=44.75202   经度=118.7241   强度=-28.99339   陡度=-8.067727   误差=68.23359   定位方式:6   省:内蒙古自治区   市:锡林郭勒盟   县:西乌珠穆沁旗
