92   2018-06-02   00:20:38.2312493   纬度=22.70384   经度=112.9163   强度=-23.73044   陡度=-10.12499   误差=0   定位方式:5   省:广东省   市:江门市   县:鹤山市
93   2018-06-02   00:20:38.6414804   纬度=22.70312   经度=112.9166   强度=-21.34528   陡度=-7.18999   误差=0   定位方式:5   省:广东省   市:江门市   县:鹤山市
94   2018-06-02   00:20:50.6997041   纬度=21.80262   经度=113.6081   强度=-45.72925   陡度=-13.93653   误差=75.91442   定位方式:6   省:   市:   县:
95   2018-06-02   00:20:59.7636282   纬度=21.70814   经度=113.6436   强度=-44.90887   陡度=-11.9757   误差=0   定位方式:6   省:   市:   县:
96   2018-06-02   00:21:06.619396   纬度=48.33039   经度=129.4413   强度=54.82367   陡度=9.74643   误差=66.80547   定位方式:6   省:黑龙江省   市:伊春市   县:伊春市市辖区
97   2018-06-02   00:21:09.8451755   纬度=27.38606   经度=102.0944   强度=-71.45649   陡度=-6.09762   误差=74.39806   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
98   2018-06-02   00:21:11.9795483   纬度=21.81251   经度=113.5504   强度=-54.42242   陡度=-14.51264   误差=75.9118   定位方式:6   省:   市:   县:
99   2018-06-02   00:21:14.9516563   纬度=22.64396   经度=113.0131   强度=-59.92127   陡度=-21.30534   误差=75.7045   定位方式:6   省:广东省   市:江门市   县:新会市
100   2018-06-02   00:21:22.4387358   纬度=27.38882   经度=102.003   强度=-34.9067   陡度=-7.703548   误差=0   定位方式:6   省:四川省   市:凉山彝族自治州   县:德昌县
101   2018-06-02   00:21:22.4625249   纬度=27.33217   经度=102.5961   强度=-20.8145   陡度=-5.550535   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
102   2018-06-02   00:21:22.6035576   纬度=27.39054   经度=102.0017   强度=-31.93377   陡度=-5.378319   误差=0   定位方式:5   省:四川省   市:凉山彝族自治州   县:德昌县
103   2018-06-02   00:21:22.8173544   纬度=27.33287   经度=102.5961   强度=-21.27115   陡度=-6.806768   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
104   2018-06-02   00:21:25.7456283   纬度=28.70271   经度=103.9366   强度=-104.0637   陡度=-166.502   误差=0   定位方式:2   省:四川省   市:宜宾地区   县:屏山县
105   2018-06-02   00:21:25.7798540   纬度=27.54688   经度=103.6082   强度=-57.89947   陡度=-7.884183   误差=0   定位方式:5   省:云南省   市:昭通地区   县:昭通市
106   2018-06-02   00:21:56.4601951   纬度=44.4057   经度=137.3947   强度=89.72387   陡度=20.88119   误差=0   定位方式:2   省:   市:   县:
107   2018-06-02   00:21:58.7509081   纬度=20.02074   经度=116.5103   强度=-260.5259   陡度=-69.47358   误差=76.33584   定位方式:6   省:   市:   县:
108   2018-06-02   00:22:04.4566313   纬度=22.61605   经度=112.9897   强度=-83.31219   陡度=-21.32792   误差=75.71159   定位方式:6   省:广东省   市:江门市   县:新会市
109   2018-06-02   00:22:04.6605122   纬度=22.59815   经度=112.9647   强度=-21.11005   陡度=-9.006953   误差=0   定位方式:5   省:广东省   市:江门市   县:鹤山市
110   2018-06-02   00:22:04.7582296   纬度=22.6039   经度=112.952   强度=-23.74123   陡度=-6.90654   误差=0   定位方式:5   省:广东省   市:江门市   县:鹤山市
111   2018-06-02   00:22:09.3573309   纬度=27.34461   经度=102.682   强度=-25.33678   陡度=-6.486215   误差=0   定位方式:2   省:四川省   市:凉山彝族自治州   县:普格县
